2,0,0,0,0,1,0,3,2,1,6,6,6,8,8,8,4,4,4,11,3,8,11,0,1,14,4,0,17,2,0,0,4,0,0,0,0,1,0,0,0,1,2,3,1,0,0,2,0,1,4,1,4,0,0,6,1,1,1,0,7,1,15,7,0,0,22,17,14,0,2,2,2,7,2,2,2,7,7,0,0,3,0,0,3,0,0,1,0,5,0,2,0,2,0,0,2,0,0,0,0,0,0,12,0,12,0,0,12,0,1,0,1,0,1,8,3,0,0,0,5,10,1,0,11,0,5,7,0,1,3,5,0,6,0,0,2,6,0,11,1,1,1,1,1,1,23,0,1,22,1,1,1,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,4,2,3,2,3,4,0,2,2,2,0,0,0,0,0,0,0,0,1,0,10,10,10,3,3,3,3,7,1,0,1,1,1,0,0,7,1,0,0,0,0,0,0,2,1,0,0,4,0,4,0,0,42,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,1,13,1,1,1,13,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,39,0,0,40,17,23,0,0,22,0,0,0,0,0,14,16,0,16,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,12,0,9,0,12,0,0,18,0,0,0,1,1,1,2,2,2,20,0,0,0,0,0,0,11,11,11,4,3,0,1,0,0,0,1,1,3,0,3,3,0,0,1,3,0,2,2,2,1,1,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,3,3,24,3,3,3,24,24,19,1,1,1,2,2,2,0,0,0,0,2,0,0,0,0,2,0,0,6,2,0,0,0,10,0,10,0,4,10,0,0,0,0,0,0,1,1,0,0,1,3,3,0,0,3,10,2,0,6,0,8,8,12,8,12,12,0,0,0,0,0,0,0,2,2,2,3,3,3,1,10,10,10,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,2,9,0,9,0,10,4,13,22,24,25,1,0,7,7,3,10,77,4,6,7,0,0,0,1,0,8,63,1,0,0,0,2,11,3,0,1,2,6,6,13,13,0,6,13,3,0,0,4,8,0,0,13,0,11,11,11,4,0,1,0,3,5,7,118,127,140,7,63,70,66,16,57,64,60,19,23,3,3,3,3,1,1,1,6,2,0,0,10,0,0,1,1,12,7,7,8,12,11,11,11,2,0,2,0,1,2,0,13,20,13,20,13,22,26,20,0,31,105,108,0,0,112,2,3,3,0,1,0,2,7,6,7,7,3,1,20,0,0,0,0,2,2,2,0,42,43,2,6,8,9,0,0,22,18,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2,2,1,0,0,0,0,58,5,7,7,8,8,6,0,0,0,47,0,0,1,0,3,7,0,0,6,5,31,0,7,0,2,0,7,7,31,2,5,5,4,4,6,3,4,9,3,3,1,3,2,4,4,0,0,0,0,5,0,1,3,5,2,6,2,4,4,0,6,6,6,0,7,7,7,0,0,6,16,16,16,21,21,21,8,8,16,8,3,30,30,30,30,3,28,28,4,3,0,0,0,0,1,3,1,16,0,1,0,2,1,0,0,19,21,0,3,22,0,0,0,0,1,0,1,5,0,1,6,8,0,9,0,0,12,9,6,5,13,9,6,5,1,0,2,3,3,2,9,11,11,0,0,1,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,3,4,5,1,4,0,1,59,10,10,10,9,9,9,22,22,22,4,5,5,5,9,9,9,3,3,3,0,2,1,0,1,3,0,0,0,2,0,0,0,14,18,7,0,11,0,0,0,0,2,0,0,6,30,11,11,11,4,24,20,24,20,15,15,58,55,51,0,2,2,2,10,5,5,5,10,10,0,1,6,0,2,7,0,0,0,7,0,0,0,0,0,0,2,0,0,0,2,8,8,8,2,14,4,14,9,4,14,9,5,9,5,9,0,0,5,4,4,0,0,2,2,1,0,3,20,0,2,0,0,46,1,48,48,0,0,3,0,3,3,3,0,0,0,3,16,16,2,0,0,0,6,6,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,4,0,0,0,16,0,0,0,16,16,0,0,0,0,1,1,0,0,1,0,2,2,1,1,2,2,1,29,0,0,0,2,1,1,0,0,1,0,0,0,0,6,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,13,17,1,1,1,7,2,7,2,0,7,2,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,1,0,0,2,0,0,1,0,1,1,2,2,1,2,0,0,0,2,2,2,2,5,5,2,0,0,0,0,0,10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,1,1,1,2,2,2,0,0,0,3,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,26,26,26,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,2,1,1,2,1,2,5,0,0,0,7,7,7,3,3,3,2,12,12,12,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,0,2,0,0,0,0,1,0,0,17,0,0,5,5,6,6,5,0,2,0,3,6,1,1,0,0,1,0,2,2,2,24,0,0,2,2,3,2,4,0,0,50,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,0,9,0,0,0,0,0,0,0,7,0,0,0,10,3,14,4,10,10,15,0,10,0,0,1,1,0,25,0,0,13,1,6,6,0,6,3,6,0,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,122,122,122,1,1,1,10,10,10,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,14,0,0,0,14,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
